run_id,timestamp,params,avg_reward,std_reward,avg_length,mean_hunger,mean_thirst,grazing_balance,action_counts,best,time_sec
11,2025-11-24 12:21:43,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'vf_coef': 0.5}",401.35246879339195,5.179908785892648,45.0,0.05883037315673301,0.2984,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|56|54|0|60,,357.9
12,2025-11-24 12:27:39,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5}",402.7045973449943,5.120072858093249,45.0,0.06068801300326987,0.30959999999999993,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,355.9
13,2025-11-24 12:33:34,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",394.60527136504635,1.8938306272663008,45.0,0.043289957137240306,0.4504000000000007,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,355.4
14,2025-11-24 12:39:30,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",390.38944999575597,4.12674069103213,45.0,0.04793625704513657,0.4372000000000004,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,356.1
15,2025-11-24 12:45:25,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'vf_coef': 0.5}",395.3253433322904,5.863421416885222,45.0,0.04866410142713125,0.425466666666667,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,355.1
16,2025-11-24 12:51:21,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5}",391.60482461988903,2.980753639781291,45.0,0.04981180040306517,0.4284000000000002,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,355.8
17,2025-11-24 12:58:26,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",396.988914877176,2.7334063194099256,45.0,0.051175955127345206,0.41520000000000035,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,424.4
18,2025-11-24 13:05:32,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",404.4679056030509,3.085499742775659,45.0,0.05932738314602113,0.28346666666666664,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,426.0
19,2025-11-24 13:12:38,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'vf_coef': 0.5}",397.23308095991587,4.266625880800663,45.0,0.06303120745950277,0.32719999999999994,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,426.7
20,2025-11-24 13:19:43,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5}",403.16278864741304,6.091506953411838,45.0,0.06255390323334273,0.31279999999999997,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,424.8
